Gene	Ensembl	regulator	Gene.synonym	Gene.description
MRFAP1	ENSG00000179010	0	PAM14, PGR1	Morf4 family associated protein 1
C3orf38	ENSG00000179021	0	MGC26717	Chromosome 3 open reading frame 38
KLHDC7A	ENSG00000179023	0	FLJ38753	Kelch domain containing 7A
TMEM107	ENSG00000179029	0	JBTS29, MGC10744, MKS13	Transmembrane protein 107
RRS1	ENSG00000179041	0	KIAA0112	Ribosome biogenesis regulator 1 homolog
EXOC3L1	ENSG00000179044	0	EXOC3L, FLJ35539, FLJ35587	Exocyst complex component 3 like 1
TRIML2	ENSG00000179046	0	FLJ25801, SPRYD6	Tripartite motif family like 2
RCC2	ENSG00000179051	0	TD-60	Regulator of chromosome condensation 2
OR13D1	ENSG00000179055	0		Olfactory receptor family 13 subfamily D member 1
IGSF22	ENSG00000179057	0	FLJ37794, IGFN2	Immunoglobulin superfamily member 22
C9orf50	ENSG00000179058	0	FLJ35803	Chromosome 9 open reading frame 50
ZFP42	ENSG00000179059	1	REX1, ZNF754	ZFP42 zinc finger protein
CCDC89	ENSG00000179071	0	FLJ38159	Coiled-coil domain containing 89
FAM133A	ENSG00000179083	0	CT115, FLJ37659, RP1-32F7.2	Family with sequence similarity 133 member A
DPM3	ENSG00000179085	0	MGC125904, MGC125905, MGC34275	Dolichyl-phosphate mannosyltransferase subunit 3, regulatory
C12orf42	ENSG00000179088	0	FLJ25323	Chromosome 12 open reading frame 42
CYC1	ENSG00000179091	0	UQCR4	Cytochrome c1
PER1	ENSG00000179094	0	PER, RIGUI	Period circadian regulator 1
HTR1F	ENSG00000179097	0	5-HT1F, HTR1EL	5-hydroxytryptamine receptor 1F
TMTC2	ENSG00000179104	0	DKFZp762A217	Transmembrane O-mannosyltransferase targeting cadherins 2
HES7	ENSG00000179111	1	bHLHb37	Hes family bHLH transcription factor 7
FARSA	ENSG00000179115	0	CML33, FARSL, FARSLA	Phenylalanyl-tRNA synthetase subunit alpha
SPTY2D1	ENSG00000179119	0	DKFZp686I068, FLJ39441, Spt2	SPT2 chromatin protein domain containing 1
C10orf67	ENSG00000179133	0	bA215C7.4, C10orf115, LINC01552, MGC46732	Chromosome 10 open reading frame 67
SAMD4B	ENSG00000179134	0	FLJ10211, hSmaug2, MGC99832, SMGB	Sterile alpha motif domain containing 4B
CYP11B2	ENSG00000179142	0	ALDOS, CPN2, CYP11B, CYP11BL, P-450C18, P450aldo	Cytochrome P450 family 11 subfamily B member 2
GIMAP7	ENSG00000179144	0	IAN7, MGC27027	GTPase, IMAP family member 7
ALOXE3	ENSG00000179148	0	E-LOX, eLOX3	Arachidonate lipoxygenase 3
EDC3	ENSG00000179151	0	FLJ21128, hYjeF_N2-15q23, LSM16, YJDC, YJEFN2	Enhancer of mRNA decapping 3
TCAIM	ENSG00000179152	0	C3orf23, DKFZp313N0621, TOAG-1	T cell activation inhibitor, mitochondrial
FUCA1	ENSG00000179163	0		Alpha-L-fucosidase 1
PXT1	ENSG00000179165	0	STEPP	Peroxisomal testis enriched protein 1
GGN	ENSG00000179168	0	FLJ35713, MGC33369	Gametogenetin
HNRNPCL1	ENSG00000179172	0	HNRPCL1	Heterogeneous nuclear ribonucleoprotein C like 1
TMEM125	ENSG00000179178	0	MGC17299	Transmembrane protein 125
ZNF664	ENSG00000179195	1	DKFZp761B128, ZFOC1, ZNF176	Zinc finger protein 664
SIGLECL1	ENSG00000179213	0	C19orf75, FLJ40235, SIGLEC23P, SIGLECP7	SIGLEC family like 1
CALR	ENSG00000179218	0	cC1qR, CRT, FLJ26680, RO, SSA	Calreticulin
MAGED1	ENSG00000179222	0	DLXIN-1, NRAGE	MAGE family member D1
GVQW3	ENSG00000179240	0		GVQW motif containing 3
LDLRAD3	ENSG00000179241	0	LRAD3	Low density lipoprotein receptor class A domain containing 3
CDH4	ENSG00000179242	0		Cadherin 4
SMCO3	ENSG00000179256	0	C12orf69, LOC440087	Single-pass membrane protein with coiled-coil domains 3
RAD23A	ENSG00000179262	0	HHR23A, MGC111083	RAD23 homolog A, nucleotide excision repair protein
PCARE	ENSG00000179270	0	C2orf71, FLJ34931, RP54	Photoreceptor cilium actin regulator
GADD45GIP1	ENSG00000179271	0	CKBBP2, CKbetaBP2, CRIF1, MGC4667, MGC4758, PLINP-1, Plinp1, PRG6	GADD45G interacting protein 1
DAND5	ENSG00000179284	0	CER2, CKTSF1B3, Coco, DANTE, DTE, FLJ38607, GREM3	DAN domain BMP antagonist family member 5
TMEM151A	ENSG00000179292	0	MGC33486, TMEM151	Transmembrane protein 151A
PTPN11	ENSG00000179295	0	BPTP3, NS1, PTP2C, SH-PTP2, SHP-2, SHP2	Protein tyrosine phosphatase non-receptor type 11
NSUN7	ENSG00000179299	0	FLJ14001	NOP2/Sun RNA methyltransferase family member 7
RTL3	ENSG00000179300	0	FLJ38865, Mar3, Mart3, SIRH9, ZCCHC5, ZHC5	Retrotransposon Gag like 3
FAM156B	ENSG00000179304	0	TMEM29B	Family with sequence similarity 156 member B
WSCD1	ENSG00000179314	0	KIAA0523	WSC domain containing 1
RAB39A	ENSG00000179331	0	RAB39	RAB39A, member RAS oncogene family
CLK3	ENSG00000179335	0		CDC like kinase 3
HLA-DQB1	ENSG00000179344	0	CELIAC1, HLA-DQB, IDDM1	Major histocompatibility complex, class II, DQ beta 1
GATA2	ENSG00000179348	1	NFE1B	GATA binding protein 2
ARID3B	ENSG00000179361	1	BDP, DRIL2	AT-rich interaction domain 3B
TMEM31	ENSG00000179363	0	MGC39655	Transmembrane protein 31
PACS2	ENSG00000179364	0	KIAA0602, PACS1L	Phosphofurin acidic cluster sorting protein 2
ELMOD2	ENSG00000179387	0	MGC10084	ELMO domain containing 2
EGR3	ENSG00000179388	1	PILOT	Early growth response 3
CATSPERE	ENSG00000179397	0	C1orf101, MGC33370	Catsper channel auxiliary subunit epsilon
GPC5	ENSG00000179399	0		Glypican 5
VWA1	ENSG00000179403	0	FLJ22215, VWA-1, WARP	Von Willebrand factor A domain containing 1
DNAJB8	ENSG00000179407	0	CT156, MGC33884	DnaJ heat shock protein family (Hsp40) member B8
GEMIN4	ENSG00000179409	0	DKFZP434B131, DKFZP434D174, HC56, HCAP1, HHRF-1, p97	Gem nuclear organelle associated protein 4
HNRNPCL4	ENSG00000179412	0		Heterogeneous nuclear ribonucleoprotein C like 4
FJX1	ENSG00000179431	0	FLJ22416, FLJ25593	Four-jointed box kinase 1
KLHL28	ENSG00000179454	0	BTBD5, FLJ20081	Kelch like family member 28
MKRN3	ENSG00000179455	0	D15S9, MGC88288, RNF63, ZFP127, ZNF127	Makorin ring finger protein 3
ZBTB18	ENSG00000179456	1	C2H2-171, RP58, TAZ-1, ZNF238	Zinc finger and BTB domain containing 18
OR9A2	ENSG00000179468	0		Olfactory receptor family 9 subfamily A member 2
C14orf28	ENSG00000179476	0	DRIP-1, DRIP1	Chromosome 14 open reading frame 28
ALOX12B	ENSG00000179477	0	12R-LOX	Arachidonate 12-lipoxygenase, 12R type
SLC17A8	ENSG00000179520	0	DFNA25, VGLUT3	Solute carrier family 17 member 8
SHARPIN	ENSG00000179526	0	DKFZP434N1923, SIPL1	SHANK associated RH domain interactor
LBX2	ENSG00000179528	1		Ladybird homeobox 2
DNHD1	ENSG00000179532	0	C11orf47, CCDC35, DHCD1, DKFZp686J0796, DNHD1L, FLJ32752, FLJ35709, FLJ46184	Dynein heavy chain domain 1
SLITRK4	ENSG00000179542	0	DKFZp547M2010	SLIT and NTRK like family member 4
HTR1D	ENSG00000179546	0	5-HT1D, HT1DA, HTRL, RDC4	5-hydroxytryptamine receptor 1D
GCC1	ENSG00000179562	0	FLJ22035, GCC1P, GCC88, MGC20706	GRIP and coiled-coil domain containing 1
LSMEM2	ENSG00000179564	0	C3orf45, FLJ38608	Leucine rich single-pass membrane protein 2
RNF151	ENSG00000179580	0		Ring finger protein 151
CIITA	ENSG00000179583	0	C2TA, MHC2TA, NLRA	Class II major histocompatibility complex transactivator
ZFPM1	ENSG00000179588	1	FOG, FOG1, ZC2HC11A, ZNF89A	Zinc finger protein, FOG family member 1
ALOX15B	ENSG00000179593	0	15-LOX-2	Arachidonate 15-lipoxygenase type B
PLD6	ENSG00000179598	0		Phospholipase D family member 6
GPHB5	ENSG00000179600	0	GPB5, ZLUT1	Glycoprotein hormone subunit beta 5
GRM8	ENSG00000179603	0	GLUR8, GPRC1H, mGlu8, MGLUR8	Glutamate metabotropic receptor 8
CDC42EP4	ENSG00000179604	0	BORG4, CEP4, KAIA1777, MGC17125, MGC3740	CDC42 effector protein 4
OR2AP1	ENSG00000179615	0	OR2AP1P	Olfactory receptor family 2 subfamily AP member 1
OR6C4	ENSG00000179626	0		Olfactory receptor family 6 subfamily C member 4
ZBTB42	ENSG00000179627	1	ZNF925	Zinc finger and BTB domain containing 42
LACC1	ENSG00000179630	0	C13orf31, FAMIN, FLJ38725	Laccase domain containing 1
MAF1	ENSG00000179632	0	DKFZp586G1123	MAF1 homolog, negative regulator of RNA polymerase III
TPPP2	ENSG00000179636	0	C14orf8, CT152, p18, p25beta	Tubulin polymerization promoting protein family member 2
FCER1A	ENSG00000179639	0	FCE1A	Fc fragment of IgE receptor Ia
RPRML	ENSG00000179673	0	MGC43894	Reprimo like
ARL14	ENSG00000179674	0	ARF7, FLJ22595	ADP ribosylation factor like GTPase 14
OR6C2	ENSG00000179695	0	OR6C67	Olfactory receptor family 6 subfamily C member 2
WDR97	ENSG00000179698	0	KIAA1875	WD repeat domain 97
NLRP8	ENSG00000179709	0	CLR19.2, NALP8, NOD16, PAN4	NLR family pyrin domain containing 8
PCED1B	ENSG00000179715	0	FAM113B, MGC16044	PC-esterase domain containing 1B
APOBEC3B	ENSG00000179750	0	FLJ21201, PHRBNL	Apolipoprotein B mRNA editing enzyme catalytic subunit 3B
SYCN	ENSG00000179751	0	FLJ27441, INSSA1, SYL	Syncollin
PIPOX	ENSG00000179761	0	LPIPOX	Pipecolic acid and sarcosine oxidase
FOXS1	ENSG00000179772	1	FKHL18, FREAC10	Forkhead box S1
ATOH7	ENSG00000179774	1	bHLHa13, Math5	Atonal bHLH transcription factor 7
CDH5	ENSG00000179776	0	7B4, CD144	Cadherin 5
LRRC3B	ENSG00000179796	0	LRP15	Leucine rich repeat containing 3B
FAM216B	ENSG00000179813	0	C13orf30, FLJ40919	Family with sequence similarity 216 member B
MRGPRX4	ENSG00000179817	0	MRGX4	MAS related GPR family member X4
MYADM	ENSG00000179820	0		Myeloid associated differentiation marker
MRGPRX3	ENSG00000179826	0	MRGX3	MAS related GPR family member X3
MROH1	ENSG00000179832	0	HEATR7A, KIAA1833	Maestro heat like repeat family member 1
SERTAD2	ENSG00000179833	0	KIAA0127, Sei-2, TRIP-Br2	SERTA domain containing 2
AKAP5	ENSG00000179841	0	AKAP75, AKAP79	A-kinase anchoring protein 5
NKPD1	ENSG00000179846	0	FLJ33600	NTPase KAP family P-loop domain containing 1
GIPC3	ENSG00000179855	0	C19orf64, DFNB15, DFNB72, DFNB95	GIPC PDZ domain containing family member 3
RNF227	ENSG00000179859	0	LINC02581	Ring finger protein 227
CITED4	ENSG00000179862	0		Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4
ABCA13	ENSG00000179869	0	FLJ33876, FLJ33951	ATP binding cassette subfamily A member 13
NLRP11	ENSG00000179873	0	CLR19.6, NALP11, NOD17, PAN10, PYPAF6	NLR family pyrin domain containing 11
TIGD5	ENSG00000179886	0	FLJ14926	Tigger transposable element derived 5
PDXDC1	ENSG00000179889	0	KIAA0251	Pyridoxal dependent decarboxylase domain containing 1
C1orf194	ENSG00000179902	0		Chromosome 1 open reading frame 194
ZNF154	ENSG00000179909	1	pHZ-92	Zinc finger protein 154
R3HDM2	ENSG00000179912	0	KIAA1002	R3H domain containing 2
B3GNT3	ENSG00000179913	0	B3GN-T3, B3GNT-3, beta3Gn-T3, HP10328, TMEM3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
ITLN1	ENSG00000179914	0	FLJ20022, hIntL, HL-1, ITLN, LFR	Intelectin 1
NRXN1	ENSG00000179915	0	Hs.22998, KIAA0578	Neurexin 1
SEPHS2	ENSG00000179918	0	SPS2, SPS2b	Selenophosphate synthetase 2
OR10A7	ENSG00000179919	0		Olfactory receptor family 10 subfamily A member 7
GPBAR1	ENSG00000179921	0	BG37, GPCR, GPCR19, GPR131, M-BAR, MGC40597, TGR5	G protein-coupled bile acid receptor 1
ZNF784	ENSG00000179922	1	MGC75238	Zinc finger protein 784
ZNF648	ENSG00000179930	1	FLJ46813	Zinc finger protein 648
C14orf119	ENSG00000179933	0	FLJ20671	Chromosome 14 open reading frame 119
CCR8	ENSG00000179934	0	CDw198, CKR-L1, CMKBR8, CMKBRL2, CY6, GPR-CY6, TER1	C-C motif chemokine receptor 8
GOLGA8J	ENSG00000179938	0		Golgin A8 family member J
BBS10	ENSG00000179941	0	C12orf58, FLJ23560	Bardet-Biedl syndrome 10
FIZ1	ENSG00000179943	1	FLJ14768, ZNF798	FLT3 interacting zinc finger 1
PUF60	ENSG00000179950	0	FIR, RoBPI, SIAHBP1	Poly(U) binding splicing factor 60
SSC5D	ENSG00000179954	0	FLJ35258, S5D-SRCRB	Scavenger receptor cysteine rich family member with 5 domains
DCTPP1	ENSG00000179958	0	CDA03, MGC5627, RS21C6, XTP3TPA	DCTP pyrophosphatase 1
ZNF771	ENSG00000179965	1	DSC43	Zinc finger protein 771
TSHZ1	ENSG00000179981	1	NY-CO-33, SDCCAG33, TSH1	Teashirt zinc finger homeobox 1
PSTK	ENSG00000179988	0	C10orf89, MGC35392	Phosphoseryl-tRNA kinase
SOCS4	ENSG00000180008	0	SOCS7	Suppressor of cytokine signaling 4
ZADH2	ENSG00000180011	0	MGC45594	Zinc binding alcohol dehydrogenase domain containing 2
OR1E1	ENSG00000180016	0	HGM071, OR13-66, OR17-2, OR17-32, OR1E5, OR1E6, OR1E9P	Olfactory receptor family 1 subfamily E member 1
ZNF48	ENSG00000180035	1	DKFZp762K013, FLJ31751, MGC43952, ZNF553	Zinc finger protein 48
OR1R1P	ENSG00000180042	0	OR17-1, OR1R2P, OR1R3P, OR20A1P	Olfactory receptor family 1 subfamily R member 1 pseudogene
FAM71E2	ENSG00000180043	0	C19orf16, DKFZp434G1729	Family with sequence similarity 71 member E2
C3orf80	ENSG00000180044	0		Chromosome 3 open reading frame 80
NKX2-6	ENSG00000180053	1	CSX2, NKX4-2	NK2 homeobox 6
TMEM150B	ENSG00000180061	0	DRAM3, TMEM224, TTN2	Transmembrane protein 150B
ANKRD18A	ENSG00000180071	0	FLJ35740, KIAA2015	Ankyrin repeat domain 18A
WFDC11	ENSG00000180083	0	WAP11	WAP four-disulfide core domain 11
TMEM86B	ENSG00000180089	0	MGC30208	Transmembrane protein 86B
OR3A1	ENSG00000180090	0	OLFRA03, OR17-40, OR40	Olfactory receptor family 3 subfamily A member 1
SEPTIN1	ENSG00000180096	0	DIFF6, PNUTL3, SEPT1	Septin 1
TRNAU1AP	ENSG00000180098	0	FLJ20503, SECP43, TRSPAP1	TRNA selenocysteine 1 associated protein 1
EXOC3	ENSG00000180104	0	SEC6L1, Sec6p	Exocyst complex component 3
TDRD6	ENSG00000180113	0	bA446F17.4, CT41.2, NY-CO-45, SPATA36	Tudor domain containing 6
C12orf40	ENSG00000180116	0	FLJ40126	Chromosome 12 open reading frame 40
CSNK1A1L	ENSG00000180138	0	MGC33182	Casein kinase 1 alpha 1 like
LYNX1	ENSG00000180155	0	SLURP2	Ly6/neurotoxin 1
TH	ENSG00000180176	0	DYT5b	Tyrosine hydroxylase
MED14	ENSG00000180182	0	CRSP150, CRSP2, CSRP, CXorf4, EXLM1, RGR1, TRAP170	Mediator complex subunit 14
FAHD1	ENSG00000180185	0	C16orf36, DKFZP566J2046	Fumarylacetoacetate hydrolase domain containing 1
TDRP	ENSG00000180190	0	C8orf42, INM01, TDRP1, TDRP2	Testis development related protein
RCC1	ENSG00000180198	0	CHC1	Regulator of chromosome condensation 1
WFDC9	ENSG00000180205	0	dJ688G8.2, WAP9	WAP four-disulfide core domain 9
MYLPF	ENSG00000180209	0	HUMMLC2B, MRLC2, MYL11	Myosin light chain, phosphorylatable, fast skeletal muscle
F2	ENSG00000180210	0		Coagulation factor II, thrombin
FAM71C	ENSG00000180219	0	MGC39520	Family with sequence similarity 71 member C
PRKRA	ENSG00000180228	0	DYT16, HSD14, PACT, RAX	Protein activator of interferon induced protein kinase EIF2AK2
ZNRF2	ENSG00000180233	0	RNF202	Zinc and ring finger 2
RRH	ENSG00000180245	0	peropsin	Retinal pigment epithelium-derived rhodopsin homolog
SLC9A4	ENSG00000180251	0	NHE4	Solute carrier family 9 member A4
ZNF816	ENSG00000180257	1	ZNF816A	Zinc finger protein 816
FGD6	ENSG00000180263	0	FLJ11183, ZFYVE24	FYVE, RhoGEF and PH domain containing 6
ADGRD2	ENSG00000180264	0	GPR144, PGR24	Adhesion G protein-coupled receptor D2
GPR139	ENSG00000180269	0	PGR3	G protein-coupled receptor 139
PLD5	ENSG00000180287	0	FLJ40773	Phospholipase D family member 5
OAZ2	ENSG00000180304	0		Ornithine decarboxylase antizyme 2
WFDC10A	ENSG00000180305	0	C20orf146, dJ688G8.3, WAP10	WAP four-disulfide core domain 10A
PNPLA1	ENSG00000180316	0	dJ50J22.1, FLJ38755	Patatin like phospholipase domain containing 1
ALX1	ENSG00000180318	1	CART1	ALX homeobox 1
CCDC43	ENSG00000180329	0	FLJ31795	Coiled-coil domain containing 43
KCTD4	ENSG00000180332	0	bA321C24.3	Potassium channel tetramerization domain containing 4
MEIOC	ENSG00000180336	0	C17orf104, FLJ35848	Meiosis specific with coiled-coil domain
FZD2	ENSG00000180340	0		Frizzled class receptor 2
TIGD2	ENSG00000180346	0		Tigger transposable element derived 2
ITPRID1	ENSG00000180347	0	CCDC129, FLJ38344	ITPR interacting domain containing 1
HCLS1	ENSG00000180353	0	CTTNL, HS1	Hematopoietic cell-specific Lyn substrate 1
MTURN	ENSG00000180354	0	C7orf41, Ells1, FLJ25903	Maturin, neural progenitor differentiation regulator homolog
ZNF609	ENSG00000180357	0	KIAA0295	Zinc finger protein 609
PAK2	ENSG00000180370	0	PAK65, PAKgamma	P21 (RAC1) activated kinase 2
CCDC66	ENSG00000180376	0	DKFZp686C0433	Coiled-coil domain containing 66
DEFB124	ENSG00000180383	0	DEFB-24	Defensin beta 124
KRTAP9-7	ENSG00000180386	0	KAP9.7, KRTAP9L1	Keratin associated protein 9-7
MCFD2	ENSG00000180398	0	F5F8D, LMAN1IP, SDNSF	Multiple coagulation factor deficiency 2, ER cargo receptor complex subunit
HARBI1	ENSG00000180423	0	C11orf77, FLJ32675	Harbinger transposase derived 1
DEFB123	ENSG00000180424	0	DEFB-23	Defensin beta 123
C11orf71	ENSG00000180425	0	FLJ20010	Chromosome 11 open reading frame 71
CYP8B1	ENSG00000180432	0	CYP12	Cytochrome P450 family 8 subfamily B member 1
OR6K6	ENSG00000180433	0		Olfactory receptor family 6 subfamily K member 6
SERTM1	ENSG00000180440	0	C13orf36	Serine rich and transmembrane domain containing 1
GAS1	ENSG00000180447	0		Growth arrest specific 1
ARHGAP45	ENSG00000180448	0	HA-1, HMHA1, KIAA0223	Rho GTPase activating protein 45
OR10Q1	ENSG00000180475	0		Olfactory receptor family 10 subfamily Q member 1
ZNF571	ENSG00000180479	1	HSPC059	Zinc finger protein 571
GLIPR1L2	ENSG00000180481	0	MGC39497	GLIPR1 like 2
DEFB119	ENSG00000180483	0	DEFB-19, DEFB-20, DEFB120	Defensin beta 119
MIGA1	ENSG00000180488	0	FAM73A, FLJ35093	Mitoguardin 1
KCNE1	ENSG00000180509	0	IsK, JLNS2, LQT5, minK	Potassium voltage-gated channel subfamily E regulatory subunit 1
NRIP1	ENSG00000180530	0	RIP140	Nuclear receptor interacting protein 1
ZSCAN4	ENSG00000180532	1	FLJ35105, ZNF494	Zinc finger and SCAN domain containing 4
BHLHA15	ENSG00000180535	1	BHLHB8, MIST1	Basic helix-loop-helix family member a15
RNF182	ENSG00000180537	0	MGC33993	Ring finger protein 182
TSPYL5	ENSG00000180543	0	KIAA1750	TSPY like 5
FUT7	ENSG00000180549	0		Fucosyltransferase 7
H2AC6	ENSG00000180573	0	H2AFL, HIST1H2AC	H2A clustered histone 6
EIF2S3B	ENSG00000180574	0	eIF-2-gamma2, eIF2gA	Eukaryotic translation initiation factor 2 subunit gamma B
SKIDA1	ENSG00000180592	0	C10orf140, FLJ45187	SKI/DACH domain containing 1
H2BC4	ENSG00000180596	0	H2B.1, H2B/l, H2BFL, HIST1H2BC	H2B clustered histone 4
MB21D2	ENSG00000180611	0	C3orf59	Mab-21 domain containing 2
GSX2	ENSG00000180613	1	Gsh2	GS homeobox 2
SSTR2	ENSG00000180616	0		Somatostatin receptor 2
ZNF594	ENSG00000180626	1	KIAA1871	Zinc finger protein 594
PCGF5	ENSG00000180628	0	MGC16202, RNF159	Polycomb group ring finger 5
SLC47A2	ENSG00000180638	0	FLJ31196, MATE2, MATE2-K	Solute carrier family 47 member 2
PRF1	ENSG00000180644	0	HPLH2, P1, PFP	Perforin 1
OR2A4	ENSG00000180658	0	OR2A10	Olfactory receptor family 2 subfamily A member 4
MAB21L1	ENSG00000180660	0	CAGR1	Mab-21 like 1
YOD1	ENSG00000180667	0	DKFZp451J1719, DUBA8, OTUD2	YOD1 deubiquitinase
TMEM64	ENSG00000180694	0	DKFZp762C1112	Transmembrane protein 64
C3orf22	ENSG00000180697	0	MGC34728	Chromosome 3 open reading frame 22
OR10K2	ENSG00000180708	0		Olfactory receptor family 10 subfamily K member 2
CHRM4	ENSG00000180720	0		Cholinergic receptor muscarinic 4
SHISA2	ENSG00000180730	0	bA398O19.2, C13orf13, hShisa, PRO28631, TMEM46, WGAR9166	Shisa family member 2
S1PR5	ENSG00000180739	0	Edg-8, EDG8	Sphingosine-1-phosphate receptor 5
CLRN3	ENSG00000180745	0	MGC32871, TMEM12, USH3AL1	Clarin 3
GPR157	ENSG00000180758	0	FLJ12132	G protein-coupled receptor 157
CHST13	ENSG00000180767	0	C4ST3	Carbohydrate sulfotransferase 13
AGTR2	ENSG00000180772	0	AT2, MRX88	Angiotensin II receptor type 2
SLC36A4	ENSG00000180773	0	FLJ38932, PAT4	Solute carrier family 36 member 4
ZDHHC20	ENSG00000180776	0	DHHC20, FLJ25952	Zinc finger DHHC-type palmitoyltransferase 20
ANKRD30B	ENSG00000180777	0	NY-BR-1.1	Ankyrin repeat domain 30B
OR51E1	ENSG00000180785	0	GPR136, GPR164, OR51E1P, OR52A3P	Olfactory receptor family 51 subfamily E member 1
ZFP3	ENSG00000180787	1	FLJ30726, ZNF752	ZFP3 zinc finger protein
ARSJ	ENSG00000180801	0	FLJ23548	Arylsulfatase family member J
HOXC9	ENSG00000180806	1	HOX3, HOX3B	Homeobox C9
MAP3K15	ENSG00000180815	0	ASK3, bA723P2.3, FLJ16518	Mitogen-activated protein kinase kinase kinase 15
PPA1	ENSG00000180817	0	IOPPP, PP, PP1, Ppase, SID6-8061	Inorganic pyrophosphatase 1
HOXC10	ENSG00000180818	1	HOX3I	Homeobox C10
PSMG4	ENSG00000180822	0	C6orf86, PAC4	Proteasome assembly chaperone 4
BHLHE22	ENSG00000180828	1	Beta3, BHLHB5, CAGL85, TNRC20	Basic helix-loop-helix family member e22
MAP6D1	ENSG00000180834	0	FLJ12748, SL21	MAP6 domain containing 1
ZNF443	ENSG00000180855	1	ZK1	Zinc finger protein 443
CXCR2	ENSG00000180871	0	CD182, CMKAR2, IL8RB	C-X-C motif chemokine receptor 2
DEFB112	ENSG00000180872	0	DEFB-12	Defensin beta 112
GREM2	ENSG00000180875	0	CKTSF1B2, DAND3, FLJ21195, Prdc	Gremlin 2, DAN family BMP antagonist
C11orf42	ENSG00000180878	0	MGC34805	Chromosome 11 open reading frame 42
SSR4	ENSG00000180879	0	TRAPD	Signal sequence receptor subunit 4
CAPS2	ENSG00000180881	0		Calcyphosine 2
ZNF792	ENSG00000180884	1	FLJ38451	Zinc finger protein 792
CUEDC1	ENSG00000180891	0		CUE domain containing 1
SCRIB	ENSG00000180900	0	KIAA0147, SCRB1, Vartul	Scribble planar cell polarity protein
KCTD2	ENSG00000180901	0	KIAA0176	Potassium channel tetramerization domain containing 2
D2HGDH	ENSG00000180902	0	D2HGD, FLJ42195, MGC25181	D-2-hydroxyglutarate dehydrogenase
OXTR	ENSG00000180914	0		Oxytocin receptor
CMTR2	ENSG00000180917	0	AFT, FLJ11171, FTSJD1, MTr2	Cap methyltransferase 2
OR56B4	ENSG00000180919	0		Olfactory receptor family 56 subfamily B member 4
FAM83H	ENSG00000180921	0	FLJ46072	Family with sequence similarity 83 member H
GPR62	ENSG00000180929	0		G protein-coupled receptor 62
OR56A1	ENSG00000180934	0		Olfactory receptor family 56 subfamily A member 1
ZNF572	ENSG00000180938	1	FLJ38002	Zinc finger protein 572
ST20	ENSG00000180953	0	HCCS-1	Suppressor of tumorigenicity 20
PITPNB	ENSG00000180957	0	VIB1B	Phosphatidylinositol transfer protein beta
TCEAL8	ENSG00000180964	0	MGC45400, WEX3	Transcription elongation factor A like 8
OR52E4	ENSG00000180974	0		Olfactory receptor family 52 subfamily E member 4
LRRC57	ENSG00000180979	0	FLJ36812	Leucine rich repeat containing 57
OR52N2	ENSG00000180988	0		Olfactory receptor family 52 subfamily N member 2
MRPL14	ENSG00000180992	0	MRP-L32, RPML32	Mitochondrial ribosomal protein L14
GPR137C	ENSG00000180998	0	DKFZp762F0713, TM7SF1L2	G protein-coupled receptor 137C
C1orf105	ENSG00000180999	0		Chromosome 1 open reading frame 105
OR52N1	ENSG00000181001	0		Olfactory receptor family 52 subfamily N member 1
BBS12	ENSG00000181004	0	C4orf24, FLJ35630, FLJ41559	Bardet-Biedl syndrome 12
ZFP82	ENSG00000181007	1	KIAA1948, MGC45380, ZNF545	ZFP82 zinc finger protein
OR52N5	ENSG00000181009	0	OR52N5Q	Olfactory receptor family 52 subfamily N member 5
LSMEM1	ENSG00000181016	0	C7orf53, FLJ39575	Leucine rich single-pass membrane protein 1
OR56B2P	ENSG00000181017	0	OR56B2	Olfactory receptor family 56 subfamily B member 2 pseudogene
NQO1	ENSG00000181019	0	DHQU, DIA4, DTD, NMOR1, QR1	NAD(P)H quinone dehydrogenase 1
OR56B1	ENSG00000181023	0	OR56B1P	Olfactory receptor family 56 subfamily B member 1
AEN	ENSG00000181026	0	FLJ12484, FLJ12562, ISG20L1	Apoptosis enhancing nuclease
FKRP	ENSG00000181027	0	FKTR, LGMD2I, MDC1C	Fukutin related protein
TRAPPC5	ENSG00000181029	0	MGC52424, TRS31	Trafficking protein particle complex 5
RPH3AL	ENSG00000181031	0	Noc2	Rabphilin 3A like (without C2 domains)
SLC25A42	ENSG00000181035	0	MGC26694	Solute carrier family 25 member 42
FCRL6	ENSG00000181036	0	FcRH6, FLJ16056, IFGP6	Fc receptor like 6
METTL23	ENSG00000181038	0	C17orf95, LOC124512	Methyltransferase like 23
SLC26A11	ENSG00000181045	0		Solute carrier family 26 member 11
HIGD1A	ENSG00000181061	0	DKFZP564K247, HIG1, RCF1A	HIG1 hypoxia inducible domain family member 1A
CHRM2	ENSG00000181072	0		Cholinergic receptor muscarinic 2
OR52N4	ENSG00000181074	0		Olfactory receptor family 52 subfamily N member 4
MAPK15	ENSG00000181085	0	ERK7, ERK8	Mitogen-activated protein kinase 15
EHMT1	ENSG00000181090	0	bA188C12.1, EHMT1-IT1, Eu-HMTase1, FLJ12879, FLJ40292, KIAA1876, KMT1D	Euchromatic histone lysine methyltransferase 1
